Unnamed: 0,Name,Last,High,Low,Chg.,Chg. %,Vol.,Time,Unnamed: 9
,KB Home,53.07,53.18,52.71,+0.05,+0.09%,291.81K,24/11,
,Ralph Lauren A,124.54,124.56,122.88,+1.87,+1.52%,288.52K,24/11,
,Autoliv,102.47,103.6,102.28,+0.80,+0.79%,287.98K,24/11,
,Check Point Software,145.54,145.61,144.04,+2.11,+1.47%,287.29K,24/11,
,Illinois Tool Works,241.85,241.85,240.26,+1.15,+0.48%,284.80K,24/11,
,Daktronics,12.17,12.23,11.88,+0.260,+2.18%,284.58K,24/11,
,The Cheesecake,32.51,32.69,32.21,-0.13,-0.40%,284.52K,24/11,
,Cummins,225.49,226.29,223.52,+0.98,+0.44%,283.92K,24/11,
,CVB Financial,17.85,17.98,17.67,-0.05,-0.28%,281.65K,24/11,
,BlackRock,730.1,730.74,726.64,+2.96,+0.41%,279.62K,24/11,
,IAC/InterActiveCorp,48.47,48.74,48.21,+0.03,+0.06%,279.04K,24/11,
,Roper Technologies,525.59,528.61,524.7,-2.89,-0.55%,278.34K,24/11,
,Motorola,320.84,320.84,318.01,+1.32,+0.41%,275.91K,24/11,
,Veradigm,12.48,12.51,12.21,+0.24,+1.96%,275.83K,24/11,
,Ciena Corp,46.05,46.08,45.42,+0.31,+0.68%,275.79K,24/11,
,Brunswick,78.28,78.77,77.5,+0.22,+0.28%,275.08K,24/11,
,ADTRAN,5.41,5.44,5.33,+0.02,+0.37%,268.24K,24/11,
,Dover,139.69,139.71,138.25,+1.13,+0.82%,264.93K,24/11,
,Waters,280.39,280.87,275.4,+4.06,+1.47%,264.14K,24/11,
,Celldex Therapeutics,28.67,29.0,27.62,+0.92,+3.32%,262.78K,24/11,
,ACI Worldwide,26.22,26.22,24.76,+0.42,+1.63%,262.55K,24/11,
,ExlServices,28.25,28.35,28.09,+0.09,+0.32%,260.90K,24/11,
,Rambus,67.48,68.13,67.3,-0.03,-0.04%,260.09K,24/11,
,Cal-Maine,47.92,47.92,47.12,+0.60,+1.27%,256.99K,24/11,
,Asure,8.08,8.145,7.898,+0.185,+2.34%,256.63K,24/11,
,ITT,109.51,109.76,108.52,+0.71,+0.65%,255.82K,24/11,
,8x8,2.92,2.95,2.89,0.00,0.00%,255.40K,24/11,
,Aon,330.02,331.37,327.66,+1.04,+0.32%,250.47K,24/11,
,Halozyme,40.38,40.9,40.11,+0.27,+0.67%,247.06K,24/11,
,Standard Biotools,2.44,2.475,2.31,+0.070,+2.95%,245.67K,24/11,
,Lazard,27.57,27.79,27.14,+0.25,+0.92%,242.95K,24/11,
,Charter Communications,405.92,407.46,405.22,+0.64,+0.16%,242.74K,24/11,
,MBIA,7.35,7.49,7.27,+0.03,+0.41%,242.12K,24/11,
,Commerce Bancshares,50.45,50.49,49.82,+0.64,+1.28%,241.43K,24/11,
,Veru,1.01,1.02,0.96,+0.034,+3.44%,240.52K,24/11,
,Ionis Pharma,49.83,50.39,49.53,+0.25,+0.50%,240.00K,24/11,
,Athersys,0.02,0.02,0.018,0.0000,0.00%,238.31K,24/11,
,CalAmp,0.37,0.38,0.33,+0.01,+3.93%,235.48K,24/11,
,Axcelis,128.36,129.45,126.7,+0.23,+0.18%,235.40K,24/11,
,Azenta,57.66,58.16,56.86,+0.31,+0.54%,231.08K,24/11,
,JB Hunt,183.05,183.4,180.89,+1.91,+1.05%,230.89K,24/11,
,Henry Schein,69.67,69.8,69.05,+0.27,+0.39%,227.25K,24/11,
,NewYork Times,45.46,45.76,45.37,-0.10,-0.22%,222.97K,24/11,
,Pitney Bowes,3.94,4.0,3.91,0.000,0.00%,221.83K,24/11,
,Parker-Hannifin,433.67,435.17,430.05,+2.44,+0.57%,221.69K,24/11,
,Cirrus,76.24,77.34,75.54,+0.39,+0.51%,220.10K,24/11,
,Durect,0.66,0.66,0.6269,+0.0100,+1.54%,219.27K,24/11,
,VeriSign,213.23,215.2,212.85,-0.93,-0.43%,218.69K,24/11,
,Laboratory America,212.72,212.8,210.61,+1.12,+0.53%,215.86K,24/11,
,Toyota Motor ADR,188.3,188.5,187.17,+4.07,+2.21%,213.81K,24/11,
,Ashland Global,79.27,79.69,78.02,+1.20,+1.54%,212.38K,24/11,
,Weatherford,93.56,94.52,92.69,+1.03,+1.11%,212.32K,24/11,
,Terex,49.94,50.33,49.48,+0.39,+0.79%,211.33K,24/11,
,Ameriprise Financial,351.42,353.48,348.62,+0.90,+0.26%,211.29K,24/11,
,McKesson,461.37,462.27,458.34,+3.92,+0.86%,211.25K,24/11,
,Denny’s,9.68,9.79,9.6,-0.06,-0.62%,209.39K,24/11,
,Alpine Immune Sciences,14.54,14.68,13.87,+0.770,+5.59%,209.26K,24/11,
,Healthcare Services,10.01,10.13,9.87,+0.07,+0.70%,208.88K,24/11,
,Robert Half,81.26,81.83,81.22,-0.27,-0.33%,208.31K,24/11,
,Great Lakes Dredge&Dock,6.89,6.91,6.56,+0.32,+4.87%,205.88K,24/11,
,Globe Life,121.34,122.12,120.3,+0.97,+0.81%,205.08K,24/11,
,M&T Bank,125.62,126.06,124.34,+0.55,+0.44%,201.98K,24/11,
,Liveramp,33.5,33.99,33.44,-0.62,-1.82%,201.92K,24/11,
,Oshkosh,97.35,98.23,96.31,+1.06,+1.10%,200.61K,24/11,
,First Interstate BancSystem,25.43,25.45,25.06,+0.17,+0.67%,195.29K,24/11,
,Garmin,121.05,121.26,120.39,+0.68,+0.56%,193.17K,24/11,
,Northrop Grumman,471.52,473.61,470.34,+1.94,+0.41%,191.23K,24/11,
,Patterson,32.55,32.58,32.32,+0.24,+0.74%,189.59K,24/11,
,Teradata,47.27,47.31,46.9,+0.11,+0.23%,186.15K,24/11,
,QuickLogic,12.97,13.31,11.5,+1.200,+10.20%,183.53K,24/11,
,Axos Financial,38.35,39.15,38.32,-0.62,-1.59%,183.27K,24/11,
,Hope Bancorp,9.77,9.91,9.76,-0.07,-0.71%,181.99K,24/11,
,Federated Investors B,31.61,31.78,31.56,+0.02,+0.06%,179.78K,24/11,
,Cincinnati Financial,102.68,102.69,101.88,+0.64,+0.63%,178.25K,24/11,
,Arch Resources,163.62,166.93,161.17,+3.02,+1.88%,178.03K,24/11,
,Perdoceo Education,17.53,17.77,17.42,+0.17,+0.98%,176.72K,24/11,
,Overseas Shipholding,5.1,5.17,5.04,+0.090,+1.80%,173.54K,24/11,
,Charles&Colvard,0.4638,0.465,0.4281,+0.0289,+6.64%,172.61K,24/11,
,American Superconductor,9.36,9.39,8.82,+0.38,+4.23%,171.57K,24/11,
