Unnamed: 0,Name,Last,High,Low,Chg.,Chg. %,Vol.,Time,Unnamed: 9
,Tesla,235.45,238.75,232.33,+1.24,+0.53%,65.02M,24/11,
,NVIDIA,477.76,489.21,477.45,-9.40,-1.93%,29.37M,24/11,
,Apple,189.97,190.9,189.25,-1.34,-0.70%,24.04M,24/11,
,Ford Motor,10.4,10.53,10.28,+0.14,+1.36%,22.02M,24/11,
,Amazon.com,146.74,147.2,145.32,+0.03,+0.02%,21.61M,24/11,
,AMD,122.31,123.25,121.54,-0.20,-0.16%,18.99M,24/11,
,Riot Platforms,12.02,12.26,11.42,+0.42,+3.62%,18.29M,24/11,
,Mullen Automotive,0.175,0.18,0.1717,0.0000,0.00%,16.10M,24/11,
,Bank of America,29.73,29.89,29.48,+0.10,+0.34%,15.75M,24/11,
,Petroleo Brasileiro Petrobras ADR,15.33,15.74,15.29,+0.03,+0.20%,15.48M,24/11,
,Intel,43.96,44.0,43.61,+0.29,+0.66%,13.03M,24/11,
,Vale ADR,15.06,15.16,15.02,-0.15,-0.99%,12.54M,24/11,
,Alphabet A,136.69,138.13,135.99,-1.80,-1.30%,12.51M,24/11,
,AT&T,16.21,16.32,16.2,+0.04,+0.25%,12.43M,24/11,
,Pfizer,30.5,30.7,30.38,+0.18,+0.59%,11.13M,24/11,
,Seelos Therapeutics,0.131,0.162,0.12,-0.039,-22.95%,11.08M,24/11,
,Grupo Televisa ADR,2.53,2.55,2.38,-0.02,-0.78%,9.52M,24/11,
,Exxon Mobil,104.57,105.46,103.91,+0.56,+0.54%,9.48M,24/11,
,Microsoft,377.43,377.97,375.14,-0.42,-0.11%,9.38M,24/11,
,Macy’s Inc,14.87,15.02,14.6,+0.03,+0.20%,8.88M,24/11,
,Nordstrom,15.05,15.19,14.39,+0.84,+5.91%,8.51M,24/11,
,Transocean,6.56,6.59,6.32,+0.270,+4.29%,8.13M,24/11,
,Cisco,48.36,48.4,48.05,+0.28,+0.58%,7.92M,24/11,
,AGNC Invest,8.71,8.84,8.69,-0.08,-0.91%,7.59M,24/11,
,CSX,32.64,32.64,32.38,+0.09,+0.28%,7.22M,24/11,
,Barrick Gold,16.23,16.34,16.11,-0.01,-0.06%,7.11M,24/11,
,PG E,18.02,18.02,17.92,+0.05,+0.28%,6.95M,24/11,
,Warner Bros Discovery,10.85,10.95,10.61,+0.19,+1.78%,6.79M,24/11,
,Verizon,37.41,37.57,37.3,+0.06,+0.16%,6.77M,24/11,
,Kinross Gold,5.59,5.65,5.57,+0.040,+0.72%,6.03M,24/11,
,Citigroup,45.23,45.52,44.84,+0.21,+0.47%,5.94M,24/11,
,General Motors,28.17,28.5,28.12,+0.07,+0.25%,5.86M,24/11,
,Comcast,42.58,42.73,42.4,+0.10,+0.24%,5.86M,24/11,
,Southwestern Energy,6.83,6.9,6.69,+0.110,+1.64%,5.60M,24/11,
,Newmont Goldcorp,37.59,37.86,37.53,-0.10,-0.27%,5.58M,24/11,
,Walt Disney,96.06,96.51,94.9,+0.99,+1.04%,5.44M,24/11,
,Qurate Retail A,0.7704,0.7704,0.66,+0.1007,+15.04%,5.38M,24/11,
,JetBlue,4.24,4.31,4.2,+0.03,+0.71%,5.29M,24/11,
,Wells Fargo&Co,42.92,43.11,42.73,+0.14,+0.33%,5.29M,24/11,
,Bristol-Myers Squibb,49.76,49.91,49.47,+0.34,+0.69%,5.09M,24/11,
,Baidu,123.4,124.83,120.93,+3.28,+2.73%,4.93M,24/11,
,HP Inc,28.64,28.83,28.44,-0.02,-0.07%,4.76M,24/11,
,Coca-Cola,58.57,58.75,58.33,+0.15,+0.26%,4.74M,24/11,
,Lumen Technologies,1.25,1.32,1.25,-0.04,-2.71%,4.68M,24/11,
,Walmart,156.06,156.13,154.7,+1.39,+0.90%,4.66M,24/11,
,NextEra Energy,57.55,57.6,56.93,+0.08,+0.14%,4.63M,24/11,
,Marathon Oil,25.35,25.59,25.22,+0.11,+0.44%,4.53M,24/11,
,KeyCorp,12.04,12.15,11.92,+0.01,+0.08%,4.51M,24/11,
,Occidental,60.16,60.84,59.99,-0.05,-0.08%,4.45M,24/11,
,Delta Air Lines,36.1,36.33,35.94,+0.15,+0.42%,4.39M,24/11,
,3D Systems,5.38,5.4,4.89,+0.74,+15.95%,4.37M,24/11,
,Micron,76.87,77.01,76.37,-0.23,-0.30%,4.35M,24/11,
,Walgreens Boots,20.85,20.98,20.58,+0.16,+0.77%,4.32M,24/11,
,Huntington Bancshares,10.88,10.95,10.82,0.01,0.09%,4.31M,24/11,
,Under Armour A,7.68,7.75,7.58,+0.02,+0.26%,4.14M,24/11,
,Devon Energy,45.35,45.62,44.9,+0.19,+0.42%,4.05M,24/11,
,Kraft Heinz,34.94,35.03,34.72,+0.26,+0.75%,3.98M,24/11,
,Trip.com ADR,35.36,35.55,34.89,+0.43,+1.23%,3.96M,24/11,
,Gap,18.86,18.92,18.63,+0.06,+0.32%,3.92M,24/11,
,Chevron,144.9,145.94,144.2,+0.57,+0.39%,3.86M,24/11,
,Sirius XM,4.93,4.94,4.85,+0.030,+0.61%,3.74M,24/11,
,Qualcomm,127.75,128.23,127.56,+0.25,+0.20%,3.71M,24/11,
,FuelCell Energy,1.17,1.19,1.15,+0.020,+1.74%,3.68M,24/11,
,Kohl’s Corp,23.15,23.53,22.55,-0.02,-0.09%,3.59M,24/11,
,Cemex ADR,6.72,6.85,6.68,-0.040,-0.59%,3.55M,24/11,
,Freeport-McMoran,36.84,37.22,36.6,-0.05,-0.14%,3.54M,24/11,
,JPMorgan,153.54,154.44,153.27,+0.21,+0.14%,3.50M,24/11,
,J&J,152.5,152.68,150.86,+1.68,+1.11%,3.35M,24/11,
,Medtronic,78.97,79.04,78.23,+0.60,+0.77%,3.31M,24/11,
,Keurig Dr Pepper,32.62,32.74,32.37,+0.21,+0.65%,3.28M,24/11,
,First Horizon National,12.15,12.2,11.97,0.00,0.00%,3.19M,24/11,
,Teva ADR,9.55,9.62,9.47,+0.09,+0.95%,3.17M,24/11,
,Altria,41.47,41.48,41.28,+0.28,+0.68%,3.15M,24/11,
,United Airlines Holdings,39.71,40.28,39.51,-0.09,-0.23%,3.15M,24/11,
,Merck&Co,101.87,102.51,101.44,+0.19,+0.19%,3.14M,24/11,
,United States Steel,34.85,35.03,34.53,+0.15,+0.43%,3.13M,24/11,
,Marvell,56.03,56.23,55.37,+0.53,+0.95%,3.11M,24/11,
,Schlumberger,52.6,53.09,52.48,+0.08,+0.15%,3.08M,24/11,
,Viatris,9.43,9.45,9.32,+0.06,+0.64%,3.07M,24/11,
,Gold Fields ADR,13.43,13.49,13.26,-0.230,-1.68%,3.06M,24/11,
